token,token_lower,tb_key,status,match_type
A139E,a139e,object.19352.name,kept_neologism,
ADC,adc,object.12534.name | object.12535.name | object.12536.name | object.12537.name | object.12539.name,kept_neologism,
ANNONCE,annonce,,removed_known_word,dictionary_form
ASCENSION,ascension,,removed_known_word,dictionary_form
ATF,atf,document.479.title,kept_neologism,
Aazimar,aazimar,npc.1967.name | quest.1247.name,kept_neologism,
Abattage,abattage,,removed_known_word,dictionary_form
Abattement,abattement,,removed_known_word,dictionary_form
Abdhoul,abdhoul,npc.1259.name,kept_neologism,
Abdomen-pact,abdomen-pact,spell.7470.name,kept_neologism,
Abdominable,abdominable,object.12775.name,kept_neologism,
Abdomination,abdomination,spell.3492.name,kept_neologism,
Abebeh,abebeh,object.3744.name,kept_neologism,
Abefun,abefun,object.4017.name,kept_neologism,
Abely,abely,npc.63.name,kept_neologism,
Abewolu,abewolu,object.5329.name,kept_neologism,
Abilité,abilité,object.775.name,kept_neologism,
Abipaca,abipaca,object.5828.name,kept_neologism,
Abir,abir,npc.464.name,kept_neologism,
Ablaru,ablaru,npc.964.name,kept_neologism,
Ablation,ablation,,removed_known_word,dictionary_form
Abnégation,abnégation,,removed_known_word,dictionary_form
Aboiement,aboiement,,removed_known_word,dictionary_form
Abolissement,abolissement,,removed_known_word,dictionary_form
Abolition,abolition,,removed_known_word,dictionary_form
Abominable,abominable,,removed_known_word,dictionary_form
Abomination,abomination,,removed_known_word,dictionary_form
Abominioble,abominioble,object.21907.name,kept_neologism,
Abomirol,abomirol,object.3561.name,kept_neologism,
Abondance,abondance,,removed_known_word,dictionary_form
Abordage,abordage,,removed_known_word,dictionary_form
Aboub,aboub,monster.384.name,kept_neologism,
Aboudbra,aboudbra,monster.2384.name,kept_neologism,
Aboum,aboum,"achievement.objective.4071.name | achievement.objective.4423.name, achievement.1379.name, npc.4327.name, achievement.objective.4267.name | npc.1422.name | object.20201.name",kept_neologism,
Abra,abra,document.136.title | monster.817.name | npc.794.name | object.14693.name | object.14701.name | object.8153.name | object.8165.name | object.8171.name | object.8175.name | object.8187.name | object.8318.name | object.8988.name,kept_neologism,
Abrabottes,abrabottes,object.2423.name,kept_neologism,
Abrabranche,abrabranche,spell.485.name,kept_neologism,
Abracapa,abracapa,object.2413.name | object.8464.name,kept_neologism,
Abracape,abracape,object.948.name,kept_neologism,
Abracaska,abracaska,object.2410.name | object.8463.name,kept_neologism,
Abragland,abragland,object.10664.name,kept_neologism,
Abrakadabra,abrakadabra,achievement.794.name | achievement.objective.2166.name,kept_neologism,
Abrakadnuzar,abrakadnuzar,monster.2385.name,kept_neologism,
Abrakanette,abrakanette,monster.2388.name,kept_neologism,
Abrakildas,abrakildas,monster.2389.name,kept_neologism,
Abrakine,abrakine,monster.2544.name,kept_neologism,
Abraklette,abraklette,monster.2386.name,kept_neologism,
Abrakleur,abrakleur,"achievement.objective.441.name, monster.1077.name | monster.1047.name, monster.4593.name, achievement.objective.431.name | object.8784.name | object.8797.name | object.8822.name | object.8823.name | object.8834.name | object.8835.name | object.8869.name | object.8870.name | object.8871.name",kept_neologism,
Abraknassion,abraknassion,spell.482.name,kept_neologism,
Abrakne,abrakne,"achievement.objective.504.name, monster.651.name | monster.4525.name, monster.650.name, achievement.objective.503.name | monster.992.name, achievement.objective.505.name | object.20003.name",kept_neologism,
Abraknettoyage,abraknettoyage,spell.5098.name,kept_neologism,
Abraknyde,abraknyde,"achievement.509.name, challenge.101.name, achievement.objective.2145.name | achievement.697.name, achievement.objective.2144.name, challenge.172.name | achievement.objective.1249.name, achievement.objective.225.name, achievement.objective.1826.name, achievement.objective.1824.name, monster.173.name | challenge.171.name, achievement.696.name, achievement.objective.2143.name | monster.254.name, achievement.objective.510.name | monster.2771.name | monster.4538.name | monster.4585.name, monster.253.name, achievement.objective.508.name | monster.47.name, achievement.objective.506.name, npc.3622.name, ride.family.4.name, rank.11.pattern | monster.4705.name | monster.919.name | monster.989.name | monster.991.name, achievement.objective.509.name | object.10259.name | object.10489.name | object.13528.name | object.14010.name | object.15565.name | object.1610.name | object.1611.name | object.1612.name | object.16151.name | object.1722.name | object.434.name | object.435.name | object.436.name | object.437.name | object.462.name | object.469.name | object.501.name | object.6496.name | object.7086.name | object.792.name | object.8449.name | object.8494.name | object.8495.name | object.8496.name | object.923.name | object.927.name | object.set.3.name | quest.79.name | spell.9115.name, spell.8102.name",kept_neologism,
Abraknydes,abraknydes,"achievement.283.name | achievement.284.name, spelltype.132.title | achievement.285.name | achievement.objective.2332.name, world.area.6.name | achievement.objective.2333.name, world.subarea.168.name | achievement.objective.2554.name, world.subarea.175.name, achievement.35.name, dungeon.9.name, hint.2964.name | document.23.title | map.name.41157632.name | map.name.42468097.name | map.name.42468099.name | map.name.42469121.name | map.name.42470145.name | map.name.42599169.name | map.name.42600193.name | object.1567.name | object.7557.name | world.subarea.169.name, achievement.objective.2331.name | world.subarea.33.name",kept_neologism,
Abraknydi,abraknydi,object.791.name,kept_neologism,
Abraknydien,abraknydien,spell.5102.name,kept_neologism,
Abraknydienne,abraknydienne,spell.5104.name,kept_neologism,
Abraknydiens,abraknydiens,"achievement.174.name, achievement.objective.846.name | monster.race.22.name",kept_neologism,
Abrakroc,abrakroc,monster.2309.name,kept_neologism,
Abramu,abramu,object.1619.name,kept_neologism,
Abranneau,abranneau,object.1559.name | object.1602.name | object.17518.name | object.836.name,kept_neologism,
Abrarc,abrarc,object.1620.name,kept_neologism,
Abraton,abraton,object.2417.name | object.6454.name,kept_neologism,
Abrature,abrature,object.2429.name | object.8468.name,kept_neologism,
Abrazelon,abrazelon,npc.497.name,kept_neologism,
Abrazif,abrazif,"monster.2898.name, achievement.objective.383.name | object.11891.name",kept_neologism,
Abreuvoir,abreuvoir,,removed_known_word,dictionary_form
Abri,abri,,removed_known_word,dictionary_form
Abrinos,abrinos,monster.2381.name,kept_neologism,
Abrutissantes,abrutissantes,,removed_known_word,dictionary_form
Abrutissement,abrutissement,,removed_known_word,dictionary_form
Absinthe,absinthe,,removed_known_word,dictionary_form
Absolue,absolue,,removed_known_word,dictionary_form
Absolution,absolution,,removed_known_word,dictionary_form
Absorbante,absorbante,,removed_known_word,dictionary_form
Absorption,absorption,,removed_known_word,dictionary_form
Abul,abul,taxcollector.firstname.65.value,kept_neologism,
Abyssal,abyssal,,removed_known_word,dictionary_form
Abyssale,abyssale,,removed_known_word,dictionary_form
Abysses,abysses,,removed_known_word,dictionary_form
Abîmes,abîmes,,removed_known_word,dictionary_form
Accablant,accablant,,removed_known_word,dictionary_form
Accio,accio,"object.12474.name | skill.action.290.name, skill.action.277.name, skill.action.283.name",kept_neologism,
Accord,accord,,removed_known_word,dictionary_form
Accouchement,accouchement,,removed_known_word,dictionary_form
Accoucheur,accoucheur,,removed_known_word,dictionary_form
Accoucheuse,accoucheuse,,removed_known_word,dictionary_form
Accru,accru,,removed_known_word,dictionary_form
Accès,accès,,removed_known_word,dictionary_form
Accéder,accéder,,removed_known_word,dictionary_form
Accélération,accélération,,removed_known_word,dictionary_form
Ace,ace,,removed_known_word,dictionary_form
Acebavec,acebavec,object.6109.name,kept_neologism,
Acebugu,acebugu,object.6234.name,kept_neologism,
Acehofa,acehofa,object.3675.name,kept_neologism,
Acerbes,acerbes,,removed_known_word,dictionary_form
Acero,acero,object.4952.name,kept_neologism,
Acharnement,acharnement,,removed_known_word,dictionary_form
Achesse,achesse,spell.1627.name,kept_neologism,
Acheter,acheter,,removed_known_word,dictionary_form
Achille,achille,,removed_known_word,dictionary_form
Achinecride,achinecride,object.11760.name,kept_neologism,
Achneutre,achneutre,taxcollector.lastname.153.value,kept_neologism,
Acide,acide,,removed_known_word,dictionary_form
Acidrik,acidrik,"achievement.objective.1474.name | document.105.author, document.275.author, document.103.author, document.113.author, document.104.author, document.108.author, document.107.author, document.106.author, document.110.author, document.276.author, document.90.author, document.109.author, document.102.author, document.125.author | npc.729.name",kept_neologism,
Acidulé,acidulé,,removed_known_word,dictionary_form
Aclou,aclou,object.1399.name | object.766.name | object.8669.name,kept_neologism,
Acoca,acoca,object.5910.name,kept_neologism,
Acolyte,acolyte,,removed_known_word,dictionary_form
Acoseude,acoseude,object.3854.name,kept_neologism,
Acrobate,acrobate,,removed_known_word,dictionary_form
Acrobatie,acrobatie,,removed_known_word,dictionary_form
Acte,acte,,removed_known_word,dictionary_form
Actionner,actionner,,removed_known_word,dictionary_form
Activante,activante,spell.3773.name,kept_neologism,
Activation,activation,,removed_known_word,dictionary_form
Activités,activités,,removed_known_word,dictionary_form
Acudob,acudob,object.5609.name,kept_neologism,
Acugrau,acugrau,object.5372.name,kept_neologism,
Acuité,acuité,,removed_known_word,dictionary_form
Aculepa,aculepa,object.3885.name,kept_neologism,
Acéré,acéré,,removed_known_word,dictionary_form
Ada,ada,,removed_known_word,dictionary_form
Adaga,adaga,object.4962.name,kept_neologism,
Adageola,adageola,object.6151.name,kept_neologism,
Adam,adam,,removed_known_word,dictionary_form
Adamantin,adamantin,,removed_known_word,dictionary_form
Adamu,adamu,object.3867.name,kept_neologism,
Adaumu,adaumu,object.2941.name,kept_neologism,
Addikt,addikt,"spell.11039.name, spell.11037.name",kept_neologism,
Adeline,adeline,,removed_known_word,dictionary_form
Adelus,adelus,object.1487.name,kept_neologism,
Adepouille,adepouille,object.2742.name,kept_neologism,
Adepte,adepte,,removed_known_word,dictionary_form
Adhamhan,adhamhan,taxcollector.firstname.74.value,kept_neologism,
Adili,adili,object.3275.name,kept_neologism,
Adin,adin,object.7218.name,kept_neologism,
Administrateurs,administrateurs,,removed_known_word,dictionary_form
Admins,admins,,removed_known_word,dictionary_form
Admirateur,admirateur,,removed_known_word,dictionary_form
Admiratrice,admiratrice,,removed_known_word,dictionary_form
Adode,adode,object.2933.name,kept_neologism,
Adonop,adonop,object.3622.name,kept_neologism,
Adoptif,adoptif,,removed_known_word,dictionary_form
Adoption,adoption,,removed_known_word,dictionary_form
Adoptive,adoptive,,removed_known_word,dictionary_form
Adou,adou,object.8926.name,kept_neologism,
Adresse,adresse,,removed_known_word,dictionary_form
Adrian,adrian,,removed_known_word,dictionary_form
Adrienne,adrienne,,removed_known_word,dictionary_form
Adrénaline,adrénaline,,removed_known_word,dictionary_form
Adulte,adulte,,removed_known_word,dictionary_form
Adversité,adversité,,removed_known_word,dictionary_form
Adydele,adydele,object.5475.name,kept_neologism,
Adéhédé,adéhédé,spell.2707.name,kept_neologism,
Adélaïde,adélaïde,,removed_known_word,dictionary_form
Aegefauc,aegefauc,object.4946.name,kept_neologism,
Aekawaul,aekawaul,object.5758.name,kept_neologism,
Ael,ael,taxcollector.firstname.1.value,kept_neologism,
Aelab,aelab,object.3166.name,kept_neologism,
Aeladague,aeladague,object.3835.name,kept_neologism,
Aelefoma,aelefoma,object.3717.name,kept_neologism,
Aelelae,aelelae,object.3592.name,kept_neologism,
Aelelydae,aelelydae,object.6340.name,kept_neologism,
Aelewawac,aelewawac,object.3177.name,kept_neologism,
Aelilotte,aelilotte,object.5287.name,kept_neologism,
Aelomul,aelomul,object.4897.name,kept_neologism,
Aelowawe,aelowawe,object.3189.name,kept_neologism,
Aelowiw,aelowiw,object.5579.name,kept_neologism,
Aeloworau,aeloworau,object.5304.name,kept_neologism,
Aelulae,aelulae,object.5777.name,kept_neologism,
Aelusato,aelusato,object.5674.name,kept_neologism,
Aelyake,aelyake,object.3122.name,kept_neologism,
Aerafal,aerafal,object.22807.name | title.471.female | title.471.male,kept_neologism,
Aerdala,aerdala,"achievement.objective.3365.name, world.subarea.833.name, achievement.1107.name | hint.3384.name, hint.3402.name, hint.3404.name | map.name.10016.name | npc.642.name | npc.643.name | object.16155.name | object.16251.name | object.7229.name | object.7233.name | object.7241.name | object.7245.name | object.7249.name | object.7253.name | object.7256.name | object.7344.name | object.7427.name | object.set.35.name | quest.1722.name | spell.3042.name | spell.3047.name | world.subarea.120.name",kept_neologism,
Aerien,aerien,object.18778.name,kept_neologism,
Aermyne,aermyne,"achievement.objective.1444.name | document.100.title | monster.446.name, object.7350.name | npc.686.name | object.13647.name | object.13648.name | object.13649.name | object.set.262.name | quest.119.name",kept_neologism,
Aerohouctor,aerohouctor,"achievement.objective.553.name, monster.894.name | object.8371.name",kept_neologism,
Aerotrugobur,aerotrugobur,achievement.objective.554.name | monster.904.name | object.8376.name,kept_neologism,
Afapisu,afapisu,object.6089.name,kept_neologism,
Afelezu,afelezu,object.3389.name,kept_neologism,
Afelolap,afelolap,object.4143.name,kept_neologism,
Afesifru,afesifru,object.5057.name,kept_neologism,
Affaibli,affaibli,,removed_known_word,dictionary_form
Affaiblie,affaiblie,,removed_known_word,dictionary_form
Affaiblissant,affaiblissant,,removed_known_word,dictionary_form
Affaiblissante,affaiblissante,,removed_known_word,dictionary_form
Affaiblissants,affaiblissants,,removed_known_word,dictionary_form
Affaiblissement,affaiblissement,,removed_known_word,dictionary_form
Affaire,affaire,,removed_known_word,dictionary_form
Affamé,affamé,,removed_known_word,dictionary_form
Affamée,affamée,,removed_known_word,dictionary_form
Affamées,affamées,,removed_known_word,dictionary_form
Affection,affection,,removed_known_word,dictionary_form
Affermage,affermage,,removed_known_word,dictionary_form
Affeulante,affeulante,object.1739.name,kept_neologism,
Affiche,affiche,,removed_known_word,dictionary_form
Affliction,affliction,,removed_known_word,dictionary_form
Afflux,afflux,,removed_known_word,dictionary_form
Affrontement,affrontement,,removed_known_word,dictionary_form
Affrontements,affrontements,,removed_known_word,dictionary_form
Affûtage,affûtage,,removed_known_word,dictionary_form
Afidpur,afidpur,object.5586.name,kept_neologism,
Afilu,afilu,object.3767.name,kept_neologism,
Afirufel,afirufel,object.4752.name,kept_neologism,
Afogosak,afogosak,object.4710.name,kept_neologism,
Afoluse,afoluse,object.5473.name,kept_neologism,
Afriolu,afriolu,object.3832.name,kept_neologism,
Afryr,afryr,npc.4663.name,kept_neologism,
Afucoma,afucoma,object.5752.name,kept_neologism,
Afutfrit,afutfrit,object.4176.name,kept_neologism,
Ag'Heuze,ag'heuze,object.9726.name | object.9850.name,kept_neologism,
Aga,aga,npc.115.name | object.6442.name,kept_neologism,
Agaboo,agaboo,object.2922.name,kept_neologism,
Agacement,agacement,,removed_known_word,dictionary_form
Agaceto,agaceto,object.2731.name,kept_neologism,
Agaeb,agaeb,object.5877.name,kept_neologism,
Agaglou,agaglou,object.5353.name,kept_neologism,
Agakur,agakur,object.3621.name,kept_neologism,
Agalomo,agalomo,object.3354.name,kept_neologism,
Agathe,agathe,,removed_known_word,dictionary_form
Agayne,agayne,object.11165.name,kept_neologism,
Age,age,,removed_known_word,dictionary_form
Agele,agele,object.3994.name,kept_neologism,
Agence,agence,,removed_known_word,dictionary_form
Agent,agent,,removed_known_word,dictionary_form
Aggressif,aggressif,object.1188.name,kept_neologism,
Agile,agile,,removed_known_word,dictionary_form
Agilesque,agilesque,object.260.name | object.261.name | object.262.name | object.850.name,kept_neologism,
Agilesques,agilesques,object.863.name,kept_neologism,
Agilité,agilité,,removed_known_word,dictionary_form
Agimnef,agimnef,object.5118.name,kept_neologism,
Agino,agino,object.2951.name,kept_neologism,
Agitateur,agitateur,,removed_known_word,dictionary_form
Agitation,agitation,,removed_known_word,dictionary_form
Agitatrice,agitatrice,,removed_known_word,dictionary_form
Agiter,agiter,,removed_known_word,dictionary_form
Aglagland,aglagland,object.17208.name,kept_neologism,
Agnou,agnou,monster.4231.name,kept_neologism,
Agnès,agnès,,removed_known_word,dictionary_form
Agoconaw,agoconaw,object.4020.name,kept_neologism,
Agonie,agonie,,removed_known_word,dictionary_form
Agra,agra,npc.3102.name,kept_neologism,
Agresseur,agresseur,,removed_known_word,dictionary_form
Agressif,agressif,,removed_known_word,dictionary_form
Agressive,agressive,,removed_known_word,dictionary_form
Agressives,agressives,,removed_known_word,dictionary_form
Agriculture,agriculture,,removed_known_word,dictionary_form
Agrid,agrid,npc.59.name,kept_neologism,
Agride,agride,object.782.name,kept_neologism,
Agrur,agrur,object.3175.name,kept_neologism,
Agrégat,agrégat,,removed_known_word,dictionary_form
Aguabrial,aguabrial,object.22809.name | title.473.female | title.473.male,kept_neologism,
Agunadlo,agunadlo,object.3226.name,kept_neologism,
Agunelig,agunelig,object.6062.name,kept_neologism,
Agymo,agymo,object.5511.name,kept_neologism,
Ahaxitof,ahaxitof,object.4133.name,kept_neologism,
Ahehi,ahehi,object.5512.name,kept_neologism,
Ahique,ahique,object.11756.name,kept_neologism,
Ahukit,ahukit,object.5213.name,kept_neologism,
Ahuri,ahuri,,removed_known_word,dictionary_form
Aiblber,aiblber,object.5216.name,kept_neologism,
Aibre,aibre,object.12393.name,kept_neologism,
Aida,aida,,removed_known_word,dictionary_form
Aidesani,aidesani,object.6236.name,kept_neologism,
Aigante,aigante,object.8937.name,kept_neologism,
Aigri,aigri,,removed_known_word,dictionary_form
Aigrie,aigrie,,removed_known_word,dictionary_form
Aigriffure,aigriffure,spell.10219.name,kept_neologism,
Aigue,aigue,object.3652.name,kept_neologism,
Aigue-Marine,aigue-marine,,removed_known_word,dictionary_form
Aiguille,aiguille,,removed_known_word,dictionary_form
Aiguilles,aiguilles,,removed_known_word,dictionary_form
Aiguillon,aiguillon,,removed_known_word,dictionary_form
Aiguiser,aiguiser,,removed_known_word,dictionary_form
Aiguisé,aiguisé,,removed_known_word,dictionary_form
Aiguisée,aiguisée,,removed_known_word,dictionary_form
Aigurraf,aigurraf,npc.308.name | object.2110.name,kept_neologism,
Aile,aile,,removed_known_word,dictionary_form
Ailelal,ailelal,object.5268.name,kept_neologism,
Ailes,ailes,,removed_known_word,dictionary_form
Aillé,aillé,,removed_known_word,dictionary_form
Ailobottes,ailobottes,object.14625.name,kept_neologism,
Ailocape,ailocape,object.14623.name,kept_neologism,
Ailoclier,ailoclier,object.14624.name,kept_neologism,
Ailuya,ailuya,object.7219.name,kept_neologism,
Ailé,ailé,,removed_known_word,dictionary_form
Aimantation,aimantation,,removed_known_word,dictionary_form
Aimgéroks,aimgéroks,object.11738.name,kept_neologism,
Aimé,aimé,,removed_known_word,dictionary_form
Aimée,aimée,,removed_known_word,dictionary_form
Ainer,ainer,npc.1340.name,kept_neologism,
Ainsi,ainsi,,removed_known_word,dictionary_form
Ainte,ainte,object.12385.name | object.18963.name,kept_neologism,
Air,air,,removed_known_word,dictionary_form
Aircussion,aircussion,"object.18995.name, object.12388.name",kept_neologism,
Airvoyant,airvoyant,object.14286.name,kept_neologism,
Airwouik,airwouik,spell.3846.name,kept_neologism,
Aise,aise,,removed_known_word,dictionary_form
Aisk,aisk,npc.1732.name | quest.1056.name,kept_neologism,
Aisselles,aisselles,,removed_known_word,dictionary_form
Aj'Deh'Là,aj'deh'là,object.1372.name,kept_neologism,
Ajara,ajara,object.2718.name,kept_neologism,
Ajout,ajout,,removed_known_word,dictionary_form
Ajouter,ajouter,,removed_known_word,dictionary_form
Ajuje,ajuje,object.5535.name,kept_neologism,
Akafaut,akafaut,object.5130.name,kept_neologism,
Akakwa,akakwa,"monster.4008.name | npc.3424.name, achievement.objective.3367.name, monster.3936.name, npc.3528.name, spelltype.157.title | object.17568.name",kept_neologism,
Akalorth,akalorth,object.5846.name,kept_neologism,
Akare,akare,object.5540.name,kept_neologism,
Akaslip,akaslip,object.17568.name,kept_neologism,
Akehpur,akehpur,object.3912.name,kept_neologism,
Akeloth,akeloth,object.4097.name,kept_neologism,
Akess,akess,npc.814.name,kept_neologism,
Aki,aki,,removed_known_word,dictionary_form
Akifum,akifum,object.6405.name,kept_neologism,
Akiko,akiko,npc.4215.name,kept_neologism,
Akilas,akilas,npc.4457.name,kept_neologism,
Akim,akim,npc.1336.name,kept_neologism,
Akimipo,akimipo,object.3993.name,kept_neologism,
Akiri,akiri,monster.3169.name | npc.1472.name,kept_neologism,
Akitber,akitber,object.5359.name,kept_neologism,
Akiteudo,akiteudo,object.3228.name,kept_neologism,
Akohonop,akohonop,object.3914.name,kept_neologism,
Akolla,akolla,taxcollector.firstname.152.value,kept_neologism,
Akor,akor,npc.1475.name,kept_neologism,
Akota,akota,object.5324.name,kept_neologism,
Akouda,akouda,"map.name.76289546.name, interactive.169.name, hint.3173.name",kept_neologism,
Akuduk,akuduk,object.6315.name,kept_neologism,
Akugeku,akugeku,object.5687.name,kept_neologism,
Akurobig,akurobig,object.3669.name,kept_neologism,
Akurosr,akurosr,object.4033.name,kept_neologism,
Akust,akust,object.3473.name,kept_neologism,
Akutogop,akutogop,object.4119.name,kept_neologism,
Akwadala,akwadala,"achievement.1101.name, world.subarea.832.name, achievement.objective.3359.name | map.name.11034.name | map.name.44042240.name | npc.3428.name, spelltype.207.title, npc.3430.name, monster.4010.name, npc.3514.name | object.7226.name | object.7230.name | object.7238.name | object.7242.name | object.7246.name | object.7250.name | object.7254.name | object.7347.name | object.9004.name | object.set.34.name | quest.1652.name, achievement.objective.3519.name | quest.1682.name | spell.3272.name | spell.5418.name",kept_neologism,
Akwanokima,akwanokima,npc.3046.name,kept_neologism,
Ala,ala,npc.306.name | object.19485.name,kept_neologism,
Alain,alain,,removed_known_word,dictionary_form
Alakarte,alakarte,"interactive.183.name, hint.2938.name | npc.293.name | object.2086.name",kept_neologism,
Alako,alako,achievement.objective.782.name | monster.747.name | object.8075.name,kept_neologism,
Alakrass,alakrass,spell.7899.name,kept_neologism,
Alalag,alalag,object.3240.name,kept_neologism,
Alalev,alalev,object.3645.name,kept_neologism,
Alaly,alaly,object.3131.name,kept_neologism,
Alambic,alambic,,removed_known_word,dictionary_form
Alamice,alamice,object.3403.name,kept_neologism,
Alan,alan,,removed_known_word,dictionary_form
Alanaj,alanaj,object.5436.name,kept_neologism,
Alanavel,alanavel,object.5926.name,kept_neologism,
Alaokit,alaokit,npc.2076.name | quest.1361.name,kept_neologism,
Alarach,alarach,taxcollector.firstname.2.value,kept_neologism,
Alarme,alarme,,removed_known_word,dictionary_form
Alawae,alawae,object.5818.name,kept_neologism,
Alawavae,alawavae,object.5164.name,kept_neologism,
Albert,albert,,removed_known_word,dictionary_form
Albino,albino,taxcollector.firstname.4.value,kept_neologism,
